customer_id,age_category,income_category,loan_amount_category,loan_period_category,payment_failure_history,credit_rating,late_payment_last_month,inflation_rate,loan_interest_rate
104,3,3,3,2,0,3,1,1.95%,5.50%
105,3,2,2,2,0,4,1,1.95%,5.50%
106,3,3,2,2,0,4,1,1.95%,5.50%
107,3,3,2,2,0,3,1,1.95%,5.50%
108,1,3,2,3,0,5,1,1.95%,5.50%
109,3,2,2,3,0,4,1,1.95%,5.50%
110,1,2,3,3,1,3,1,1.95%,5.50%
111,3,3,3,1,0,3,1,1.95%,5.50%
112,2,3,2,3,0,3,1,1.95%,5.50%
113,3,2,3,2,1,4,1,1.95%,5.50%
114,1,3,3,3,0,1,0,1.95%,5.50%
115,1,3,3,3,0,3,1,1.95%,5.50%
116,3,3,3,2,0,5,1,1.95%,5.50%
117,2,3,3,3,1,2,1,1.95%,5.50%
118,3,3,3,2,1,2,1,1.95%,5.50%
119,2,3,3,3,0,1,0,1.95%,5.50%
120,2,3,3,2,1,2,1,1.95%,5.50%
121,3,3,2,3,0,5,1,1.95%,5.50%
122,3,2,2,2,0,2,1,1.95%,5.50%
123,3,3,2,2,0,5,1,1.95%,5.50%
124,3,2,2,2,0,1,0,1.95%,5.50%
125,2,2,3,2,0,1,0,1.95%,5.50%
126,2,2,2,2,1,5,1,1.95%,5.50%
127,2,3,2,2,0,4,1,1.95%,5.50%
128,3,2,3,3,1,4,1,1.95%,5.50%
129,3,2,2,3,0,3,1,1.95%,5.50%
130,2,3,2,3,0,1,0,1.95%,5.50%
131,3,3,1,2,1,5,1,1.95%,5.50%
132,3,3,2,3,0,1,0,1.95%,5.50%
133,2,3,3,2,0,5,1,1.95%,5.50%
134,3,3,2,3,1,3,1,1.95%,5.50%
135,3,3,3,1,0,1,0,1.95%,5.50%
136,3,3,2,2,0,1,0,1.95%,5.50%
137,3,3,2,2,0,5,1,1.95%,5.50%
138,2,3,2,1,0,2,1,1.95%,5.50%
139,4,3,2,2,0,1,0,1.95%,5.50%
140,1,1,3,1,0,4,1,1.95%,5.50%
141,2,3,2,3,1,5,1,1.95%,5.50%
142,3,3,3,3,1,5,1,1.95%,5.50%
143,2,3,3,3,1,4,1,1.95%,5.50%
144,3,3,3,2,0,5,1,1.95%,5.50%
145,2,2,3,2,1,5,1,1.95%,5.50%
146,2,3,2,3,0,4,1,1.95%,5.50%
147,3,2,2,3,1,3,1,1.95%,5.50%
148,4,2,2,2,0,4,1,1.95%,5.50%
149,2,3,3,2,0,4,1,1.95%,5.50%
150,1,3,3,3,0,5,1,1.95%,5.50%
151,2,1,3,3,0,4,1,1.95%,5.50%
152,2,3,2,2,1,1,0,1.95%,5.50%
153,1,3,2,2,0,3,1,1.95%,5.50%
154,4,2,2,3,0,4,1,1.95%,5.50%
155,1,3,3,3,0,3,1,1.95%,5.50%
156,3,3,2,3,1,5,1,1.95%,5.50%
157,2,1,2,3,0,2,1,1.95%,5.50%
158,2,2,2,3,0,2,1,1.95%,5.50%
159,3,3,3,2,1,1,0,1.95%,5.50%
160,3,2,3,2,0,2,1,1.95%,5.50%
161,3,3,3,3,0,1,0,1.95%,5.50%
162,3,3,2,2,0,3,1,1.95%,5.50%
163,3,1,2,3,0,5,1,1.95%,5.50%
164,3,3,2,3,0,1,0,1.95%,5.50%
165,3,3,2,1,0,2,1,1.95%,5.50%
166,3,3,2,2,0,1,0,1.95%,5.50%
167,3,3,3,2,0,2,1,1.95%,5.50%
168,2,2,2,2,0,4,1,1.95%,5.50%
169,3,3,3,3,0,3,1,1.95%,5.50%
170,1,3,2,2,0,4,1,1.95%,5.50%
171,1,1,3,2,0,2,1,1.95%,5.50%
172,2,2,2,3,0,3,1,1.95%,5.50%
173,3,3,2,3,1,4,1,1.95%,5.50%
174,2,2,3,2,0,3,1,1.95%,5.50%
175,2,2,2,1,0,5,1,1.95%,5.50%
176,1,1,3,2,0,1,0,1.95%,5.50%
177,3,2,2,2,0,2,1,1.95%,5.50%
178,3,3,2,2,0,3,1,1.95%,5.50%
179,2,3,2,2,0,2,1,1.95%,5.50%
180,3,2,2,3,1,4,1,1.95%,5.50%
181,3,3,3,1,0,4,1,1.95%,5.50%
182,1,3,2,2,0,5,1,1.95%,5.50%
183,4,3,2,2,0,1,0,1.95%,5.50%
184,3,3,3,2,0,3,1,1.95%,5.50%
185,2,2,1,3,0,4,1,1.95%,5.50%
186,3,2,2,3,1,4,1,1.95%,5.50%
187,3,3,2,2,0,2,1,1.95%,5.50%
188,2,3,3,3,1,3,1,1.95%,5.50%
189,2,2,3,3,0,5,1,1.95%,5.50%
190,3,3,3,3,0,1,0,1.95%,5.50%
191,4,1,3,1,0,2,1,1.95%,5.50%
192,2,2,3,2,0,5,1,1.95%,5.50%
193,2,3,3,2,0,4,1,1.95%,5.50%
194,2,3,2,2,1,1,0,1.95%,5.50%
195,3,3,3,3,0,1,0,1.95%,5.50%
196,3,2,2,3,0,1,0,1.95%,5.50%
197,3,3,3,2,0,3,1,1.95%,5.50%
198,3,3,2,2,0,3,1,1.95%,5.50%
199,3,3,2,3,1,1,0,1.95%,5.50%
200,1,3,3,2,0,4,1,1.95%,5.50%
201,3,3,3,2,1,5,1,1.95%,5.50%
202,1,3,3,3,0,2,1,1.95%,5.50%
203,3,3,2,3,0,2,1,1.95%,5.50%
204,3,3,3,2,0,1,0,1.95%,5.50%
205,2,3,3,2,0,3,1,1.95%,5.50%
206,3,3,2,2,0,2,1,1.95%,5.50%
207,4,3,2,3,0,3,1,1.95%,5.50%
208,2,3,2,2,0,3,1,1.95%,5.50%
209,3,3,3,3,1,2,1,1.95%,5.50%
210,2,3,3,2,1,1,0,1.95%,5.50%
211,4,3,2,3,0,3,1,1.95%,5.50%
212,3,2,2,2,0,5,1,1.95%,5.50%
213,3,2,3,3,0,4,1,1.95%,5.50%
214,2,2,3,2,0,3,1,1.95%,5.50%
215,2,2,2,2,0,1,0,1.95%,5.50%
216,3,3,3,2,0,5,1,1.95%,5.50%
217,3,3,2,2,0,4,1,1.95%,5.50%
218,3,3,3,2,0,3,1,1.95%,5.50%
219,3,3,2,2,0,3,1,1.95%,5.50%
220,3,2,3,3,1,1,0,1.95%,5.50%
221,4,3,2,3,0,5,1,1.95%,5.50%
222,3,3,1,3,1,3,1,1.95%,5.50%
223,3,2,3,2,0,1,0,1.95%,5.50%
224,1,2,2,2,0,4,1,1.95%,5.50%
225,2,3,3,2,0,1,0,1.95%,5.50%
226,3,3,3,3,0,5,1,1.95%,5.50%
227,2,3,2,2,0,3,1,1.95%,5.50%
228,3,3,3,3,0,4,1,1.95%,5.50%
229,2,2,2,2,0,4,1,1.95%,5.50%
230,2,1,2,2,1,2,1,1.95%,5.50%
231,3,3,2,2,0,4,1,1.95%,5.50%
232,2,3,3,3,0,4,1,1.95%,5.50%
233,3,3,3,3,0,2,1,1.95%,5.50%
234,2,3,2,2,1,2,1,1.95%,5.50%
235,2,3,3,3,0,4,1,1.95%,5.50%
236,2,3,2,3,0,2,1,1.95%,5.50%
237,2,3,3,2,0,4,1,1.95%,5.50%
238,3,3,2,2,0,2,1,1.95%,5.50%
239,4,3,3,3,0,4,1,1.95%,5.50%
240,3,3,3,3,0,4,1,1.95%,5.50%
241,2,3,2,2,0,2,1,1.95%,5.50%
242,3,2,2,2,0,2,1,1.95%,5.50%
243,2,3,3,2,0,3,1,1.95%,5.50%
244,3,3,2,3,0,4,1,1.95%,5.50%
245,3,3,3,3,0,4,1,1.95%,5.50%
246,4,3,2,3,1,4,1,1.95%,5.50%
247,3,3,3,3,0,5,1,1.95%,5.50%
248,3,1,2,3,0,4,1,1.95%,5.50%
249,3,3,2,3,0,1,0,1.95%,5.50%
250,2,2,3,3,0,1,0,1.95%,5.50%
251,2,3,3,3,0,3,1,1.95%,5.50%
252,1,1,2,2,0,2,1,1.95%,5.50%
253,3,2,3,2,0,5,1,1.95%,5.50%
254,3,3,3,2,0,3,1,1.95%,5.50%
255,4,3,3,3,0,5,1,1.95%,5.50%
256,3,3,3,3,0,5,1,1.95%,5.50%
257,2,3,3,3,0,4,1,1.95%,5.50%
258,3,3,2,2,1,5,1,1.95%,5.50%
259,3,2,3,3,0,1,0,1.95%,5.50%
260,1,2,3,2,1,1,0,1.95%,5.50%
261,2,3,3,2,0,3,1,1.95%,5.50%
262,3,2,3,3,0,3,1,1.95%,5.50%
263,3,3,3,3,1,1,0,1.95%,5.50%
264,1,3,3,3,0,3,1,1.95%,5.50%
265,3,3,2,1,0,5,1,1.95%,5.50%
266,3,3,3,3,1,2,1,1.95%,5.50%
267,2,3,2,2,0,5,1,1.95%,5.50%
268,4,3,2,3,0,4,1,1.95%,5.50%
269,1,3,3,3,0,5,1,1.95%,5.50%
270,2,2,2,2,0,3,1,1.95%,5.50%
271,3,2,2,2,1,1,0,1.95%,5.50%
272,2,2,3,3,0,4,1,1.95%,5.50%
273,2,1,3,3,0,4,1,1.95%,5.50%
274,3,3,2,3,1,3,1,1.95%,5.50%
275,2,3,3,2,0,4,1,1.95%,5.50%
276,2,3,3,2,0,5,1,1.95%,5.50%
277,3,3,2,3,0,4,1,1.95%,5.50%
278,1,1,2,3,0,1,0,1.95%,5.50%
279,2,3,2,3,0,5,1,1.95%,5.50%
280,3,3,3,3,1,3,1,1.95%,5.50%
281,4,3,3,2,0,5,1,1.95%,5.50%
282,3,2,3,3,0,1,0,1.95%,5.50%
283,2,2,2,3,0,2,1,1.95%,5.50%
284,3,3,3,2,0,2,1,1.95%,5.50%
285,3,2,3,3,0,4,1,1.95%,5.50%
286,3,2,2,2,0,3,1,1.95%,5.50%
287,1,3,2,3,0,4,1,1.95%,5.50%
288,2,1,2,2,1,3,1,1.95%,5.50%
289,3,3,3,3,0,4,1,1.95%,5.50%
290,3,2,2,2,0,1,0,1.95%,5.50%
291,1,3,2,2,0,1,0,1.95%,5.50%
292,1,3,2,2,0,2,1,1.95%,5.50%
293,2,1,3,3,0,1,0,1.95%,5.50%
294,2,2,3,3,0,4,1,1.95%,5.50%
295,2,3,1,2,1,4,1,1.95%,5.50%
296,2,3,3,2,0,2,1,1.95%,5.50%
297,3,2,3,3,0,4,1,1.95%,5.50%
298,3,3,3,3,0,3,1,1.95%,5.50%
299,2,3,2,2,0,3,1,1.95%,5.50%
300,1,3,2,2,0,5,1,1.95%,5.50%
301,3,2,2,3,0,2,1,1.95%,5.50%
302,3,3,3,2,0,5,1,1.95%,5.50%
303,2,3,3,2,0,4,1,1.95%,5.50%
304,3,1,2,2,0,1,0,1.95%,5.50%
305,2,3,3,2,0,1,0,1.95%,5.50%
306,3,2,2,1,0,4,1,1.95%,5.50%
307,2,2,2,3,0,3,1,1.95%,5.50%
308,3,3,2,2,0,5,1,1.95%,5.50%
309,3,3,3,3,0,5,1,1.95%,5.50%
310,2,3,3,3,0,5,1,1.95%,5.50%
311,3,3,3,3,1,3,1,1.95%,5.50%
312,3,2,3,2,0,3,1,1.95%,5.50%
313,3,3,3,2,0,5,1,1.95%,5.50%
314,3,3,3,3,0,4,1,1.95%,5.50%
315,3,1,3,2,1,3,1,1.95%,5.50%
316,3,3,2,2,1,1,0,1.95%,5.50%
317,2,3,2,2,0,5,1,1.95%,5.50%
318,3,2,2,3,1,3,1,1.95%,5.50%
319,2,3,3,3,0,1,0,1.95%,5.50%
320,3,3,2,1,0,4,1,1.95%,5.50%
321,2,3,2,3,0,2,1,1.95%,5.50%
322,3,1,2,2,0,4,1,1.95%,5.50%
323,3,3,3,3,0,4,1,1.95%,5.50%
324,2,2,2,2,1,1,0,1.95%,5.50%
325,3,3,3,1,0,2,1,1.95%,5.50%
326,2,3,3,2,0,5,1,1.95%,5.50%
327,3,2,3,1,0,2,1,1.95%,5.50%
328,1,3,3,2,0,2,1,1.95%,5.50%
329,3,2,2,3,0,4,1,1.95%,5.50%
330,3,3,3,3,0,2,1,1.95%,5.50%
331,3,3,3,3,0,4,1,1.95%,5.50%
332,2,3,3,3,0,2,1,1.95%,5.50%
333,2,3,2,3,0,2,1,1.95%,5.50%
334,2,2,3,2,0,4,1,1.95%,5.50%
335,4,3,3,3,0,2,1,1.95%,5.50%
336,2,2,2,2,0,4,1,1.95%,5.50%
337,2,3,2,2,0,3,1,1.95%,5.50%
338,3,2,2,3,0,3,1,1.95%,5.50%
339,3,3,3,3,1,4,1,1.95%,5.50%
340,3,1,2,3,0,1,0,1.95%,5.50%
341,2,3,3,2,1,2,1,1.95%,5.50%
342,2,3,3,2,0,1,0,1.95%,5.50%
343,1,2,2,2,0,2,1,1.95%,5.50%
344,4,3,3,1,0,3,1,1.95%,5.50%
345,3,2,2,3,0,2,1,1.95%,5.50%
346,1,3,2,3,0,3,1,1.95%,5.50%
347,3,2,2,2,0,3,1,1.95%,5.50%
348,3,3,3,3,0,3,1,1.95%,5.50%
349,2,3,2,2,0,3,1,1.95%,5.50%
350,3,3,3,1,1,3,1,1.95%,5.50%
351,1,3,3,3,0,3,1,1.95%,5.50%
352,3,3,2,2,1,1,0,1.95%,5.50%
353,3,2,2,3,0,1,0,1.95%,5.50%
354,3,3,2,3,0,3,1,1.95%,5.50%
355,2,3,3,2,0,3,1,1.95%,5.50%
356,2,2,2,2,1,2,1,1.95%,5.50%
357,3,3,3,2,0,4,1,1.95%,5.50%
358,2,3,2,2,0,5,1,1.95%,5.50%
359,2,3,3,2,1,5,1,1.95%,5.50%
360,3,3,2,2,0,2,1,1.95%,5.50%
361,4,3,3,2,0,1,0,1.95%,5.50%
362,2,3,3,3,0,5,1,1.95%,5.50%
363,2,3,3,3,1,4,1,1.95%,5.50%
364,3,2,2,2,0,5,1,1.95%,5.50%
365,3,2,3,2,0,5,1,1.95%,5.50%
366,3,3,2,3,0,3,1,1.95%,5.50%
367,2,2,3,2,0,3,1,1.95%,5.50%
368,2,1,2,2,1,1,0,1.95%,5.50%
369,2,2,3,3,0,2,1,1.95%,5.50%
370,4,2,3,2,0,4,1,1.95%,5.50%
371,3,3,1,2,1,2,1,1.95%,5.50%
372,2,3,3,3,0,4,1,1.95%,5.50%
373,2,3,2,2,0,1,0,1.95%,5.50%
374,1,1,3,2,0,1,0,1.95%,5.50%
375,2,3,2,2,0,1,0,1.95%,5.50%
376,1,3,2,3,0,2,1,1.95%,5.50%
377,2,3,2,3,0,2,1,1.95%,5.50%
378,3,3,2,2,0,2,1,1.95%,5.50%
379,3,3,1,2,0,5,1,1.95%,5.50%
380,3,3,3,1,0,3,1,1.95%,5.50%
381,3,2,3,2,0,1,0,1.95%,5.50%
382,2,2,3,3,1,3,1,1.95%,5.50%
383,3,3,2,3,1,2,1,1.95%,5.50%
384,2,3,2,3,0,4,1,1.95%,5.50%
385,3,2,3,3,0,3,1,1.95%,5.50%
386,2,3,2,2,0,5,1,1.95%,5.50%
387,3,2,3,2,0,1,0,1.95%,5.50%
388,3,2,3,3,0,4,1,1.95%,5.50%
389,2,3,3,2,0,4,1,1.95%,5.50%
390,3,2,3,2,0,5,1,1.95%,5.50%
391,3,2,2,3,0,5,1,1.95%,5.50%
392,2,2,3,1,1,1,0,1.95%,5.50%
393,1,3,3,2,0,4,1,1.95%,5.50%
394,3,3,2,1,0,5,1,1.95%,5.50%
395,3,2,2,3,0,1,0,1.95%,5.50%
396,2,3,3,3,0,5,1,1.95%,5.50%
397,2,2,3,2,1,4,1,1.95%,5.50%
398,3,2,3,3,0,1,0,1.95%,5.50%
399,2,2,3,2,1,1,0,1.95%,5.50%
400,3,1,3,2,0,4,1,1.95%,5.50%
401,4,3,3,2,0,5,1,1.95%,5.50%
402,2,2,2,3,1,2,1,1.95%,5.50%
403,2,3,3,3,1,5,1,1.95%,5.50%
404,3,3,2,2,0,3,1,1.95%,5.50%
405,3,3,2,2,0,4,1,1.95%,5.50%
406,3,3,2,2,0,2,1,1.95%,5.50%
407,3,3,3,2,0,5,1,1.95%,5.50%
408,4,3,3,3,0,3,1,1.95%,5.50%
409,2,3,3,2,0,4,1,1.95%,5.50%
410,2,3,2,3,0,3,1,1.95%,5.50%
411,3,3,2,3,1,4,1,1.95%,5.50%
412,3,3,2,2,0,2,1,1.95%,5.50%
413,2,3,2,3,0,2,1,1.95%,5.50%
414,2,1,2,2,0,3,1,1.95%,5.50%
415,3,3,2,3,0,5,1,1.95%,5.50%
416,3,3,2,3,0,3,1,1.95%,5.50%
417,3,1,2,3,0,4,1,1.95%,5.50%
418,3,3,1,2,0,4,1,1.95%,5.50%
419,3,3,2,2,0,2,1,1.95%,5.50%
420,2,2,2,3,0,4,1,1.95%,5.50%
421,2,1,3,3,0,5,1,1.95%,5.50%
422,1,2,3,3,0,5,1,1.95%,5.50%
423,2,3,2,2,1,4,1,1.95%,5.50%
424,3,3,1,3,0,3,1,1.95%,5.50%
425,3,1,3,2,0,3,1,1.95%,5.50%
426,1,3,2,3,0,3,1,1.95%,5.50%
427,3,3,2,3,0,5,1,1.95%,5.50%
428,3,1,3,3,0,4,1,1.95%,5.50%
429,3,3,3,3,0,5,1,1.95%,5.50%
430,1,3,3,2,0,1,0,1.95%,5.50%
431,2,3,3,2,1,3,1,1.95%,5.50%
432,2,3,3,2,0,2,1,1.95%,5.50%
433,2,3,3,3,1,3,1,1.95%,5.50%
434,2,2,2,2,0,2,1,1.95%,5.50%
435,3,2,2,3,0,1,0,1.95%,5.50%
436,3,3,3,3,0,2,1,1.95%,5.50%
437,2,2,3,2,0,2,1,1.95%,5.50%
438,2,3,2,2,0,1,0,1.95%,5.50%
439,3,3,2,3,0,2,1,1.95%,5.50%
440,3,3,2,1,0,5,1,1.95%,5.50%
441,3,2,2,2,1,2,1,1.95%,5.50%
442,1,3,3,2,0,3,1,1.95%,5.50%
443,1,3,1,3,0,5,1,1.95%,5.50%
444,3,3,2,2,1,4,1,1.95%,5.50%
445,3,3,2,2,0,1,0,1.95%,5.50%
446,3,3,3,3,0,5,1,1.95%,5.50%
447,2,3,1,3,0,5,1,1.95%,5.50%
448,3,3,2,3,0,3,1,1.95%,5.50%
449,2,3,3,2,0,4,1,1.95%,5.50%
450,2,3,3,2,0,5,1,1.95%,5.50%
451,3,3,3,2,0,1,0,1.95%,5.50%
452,3,3,2,2,1,1,0,1.95%,5.50%
453,3,3,3,2,0,3,1,1.95%,5.50%
454,3,3,1,2,0,1,0,1.95%,5.50%
455,3,3,3,2,0,5,1,1.95%,5.50%
456,3,3,2,3,0,1,0,1.95%,5.50%
457,3,1,2,2,0,4,1,1.95%,5.50%
458,1,3,3,3,1,1,0,1.95%,5.50%
459,2,3,2,1,0,3,1,1.95%,5.50%
460,2,3,3,3,0,5,1,1.95%,5.50%
461,3,3,2,2,0,4,1,1.95%,5.50%
462,3,3,3,3,0,2,1,1.95%,5.50%
463,3,2,2,3,1,5,1,1.95%,5.50%
464,3,2,3,2,0,4,1,1.95%,5.50%
465,3,3,3,3,0,3,1,1.95%,5.50%
466,3,2,2,2,0,5,1,1.95%,5.50%
467,3,2,2,3,0,2,1,1.95%,5.50%
468,2,3,2,2,0,1,0,1.95%,5.50%
469,3,3,3,3,0,2,1,1.95%,5.50%
470,2,2,2,3,0,2,1,1.95%,5.50%
471,3,3,2,3,0,2,1,1.95%,5.50%
472,3,1,1,2,1,2,1,1.95%,5.50%
473,4,3,3,3,0,3,1,1.95%,5.50%
474,2,3,2,2,0,5,1,1.95%,5.50%
475,2,3,2,3,0,1,0,1.95%,5.50%
476,1,3,1,3,0,2,1,1.95%,5.50%
477,3,2,3,2,0,3,1,1.95%,5.50%
478,3,2,2,3,0,2,1,1.95%,5.50%
479,3,3,3,2,0,2,1,1.95%,5.50%
480,3,2,2,2,1,1,0,1.95%,5.50%
481,2,3,3,3,0,5,1,1.95%,5.50%
482,3,3,2,2,1,2,1,1.95%,5.50%
483,1,3,2,2,0,3,1,1.95%,5.50%
484,2,3,3,2,0,5,1,1.95%,5.50%
485,1,3,2,3,1,1,0,1.95%,5.50%
486,2,2,2,3,1,5,1,1.95%,5.50%
487,3,2,2,3,0,5,1,1.95%,5.50%
488,4,3,1,3,0,1,0,1.95%,5.50%
489,3,1,2,3,0,3,1,1.95%,5.50%
490,4,3,2,2,1,5,1,1.95%,5.50%
491,2,3,3,2,0,2,1,1.95%,5.50%
492,3,2,3,3,0,5,1,1.95%,5.50%
493,2,1,2,3,0,3,1,1.95%,5.50%
494,2,3,3,3,1,2,1,1.95%,5.50%
495,3,2,2,2,0,5,1,1.95%,5.50%
496,2,2,2,3,1,2,1,1.95%,5.50%
497,2,3,2,3,0,2,1,1.95%,5.50%
498,3,3,3,2,0,2,1,1.95%,5.50%
499,1,3,3,1,0,5,1,1.95%,5.50%
500,3,2,3,3,0,1,0,1.95%,5.50%
501,1,2,2,2,0,1,0,1.95%,5.50%
502,2,1,2,2,0,1,0,1.95%,5.50%
503,3,3,3,2,0,1,0,1.95%,5.50%
504,2,2,3,3,0,5,1,1.95%,5.50%
505,3,3,3,2,0,2,1,1.95%,5.50%
506,3,2,2,3,0,4,1,1.95%,5.50%
507,2,3,3,3,0,4,1,1.95%,5.50%
508,3,2,2,2,0,2,1,1.95%,5.50%
509,3,3,2,2,0,5,1,1.95%,5.50%
510,3,3,3,3,0,2,1,1.95%,5.50%
511,2,3,2,1,0,4,1,1.95%,5.50%
512,1,2,1,3,1,3,1,1.95%,5.50%
513,4,3,3,2,0,3,1,1.95%,5.50%
514,2,3,2,3,0,1,0,1.95%,5.50%
515,3,3,2,2,0,5,1,1.95%,5.50%
516,3,3,3,3,0,5,1,1.95%,5.50%
517,1,3,3,2,0,1,0,1.95%,5.50%
518,3,3,2,3,1,2,1,1.95%,5.50%
519,3,3,3,3,0,4,1,1.95%,5.50%
520,2,3,2,3,0,3,1,1.95%,5.50%
521,4,3,2,2,0,5,1,1.95%,5.50%
522,3,1,3,2,0,1,0,1.95%,5.50%
523,3,2,3,2,0,4,1,1.95%,5.50%
524,2,3,2,2,0,5,1,1.95%,5.50%
525,2,3,2,2,0,1,0,1.95%,5.50%
526,2,3,2,3,1,4,1,1.95%,5.50%
527,3,2,2,3,0,3,1,1.95%,5.50%
528,3,3,3,3,0,5,1,1.95%,5.50%
529,2,3,3,1,0,5,1,1.95%,5.50%
530,3,3,3,3,0,3,1,1.95%,5.50%
531,2,2,3,3,0,4,1,1.95%,5.50%
532,3,3,2,2,0,4,1,1.95%,5.50%
533,1,3,3,2,0,3,1,1.95%,5.50%
